,athlete_full_name,athlete_url
0,Stefania CONSTANTINI,https://olympics.com/en/athletes/stefania-constantini
1,Amos MOSANER,https://olympics.com/en/athletes/amos-mosaner
2,Kristin SKASLIEN,https://olympics.com/en/athletes/kristin-skaslien
3,Magnus NEDREGOTTEN,https://olympics.com/en/athletes/magnus-nedregotten
4,Almida DE VAL,https://olympics.com/en/athletes/almida-de-val
5,Oskar ERIKSSON,https://olympics.com/en/athletes/oskar-eriksson
6,,
7,Mikael KINGSBURY,https://olympics.com/en/athletes/mikael-kingsbury
8,Walter WALLBERG,https://olympics.com/en/athletes/wallberg
9,Ikuma HORISHIMA,https://olympics.com/en/athletes/ikuma-horishima
10,Nico PORTEOUS,https://olympics.com/en/athletes/nico-porteous
11,David WISE,https://olympics.com/en/athletes/david-wise
12,Alex FERREIRA,https://olympics.com/en/athletes/alex-ferreira
13,Henrik HARLAUT,https://olympics.com/en/athletes/henrik-harlaut
14,Birk RUUD,https://olympics.com/en/athletes/birk-ruud
15,Colby STEVENSON,https://olympics.com/en/athletes/colby-stevenson
16,Sergey RIDZIK,https://olympics.com/en/athletes/sergey-ridzik-1
17,Alex FIVA,https://olympics.com/en/athletes/alex-fiva
18,Ryan REGEZ,https://olympics.com/en/athletes/ryan-regez
19,Mathilde GREMAUD,https://olympics.com/en/athletes/mathilde-gremaud
20,Ailing Eileen GU,https://olympics.com/en/athletes/gu-ailing-eileen
21,Tess LEDEUX,https://olympics.com/en/athletes/tess-ledeux
22,Jaelin KAUF,https://olympics.com/en/athletes/kauf
23,Jakara ANTHONY,https://olympics.com/en/athletes/anthony
24,Anastasiia SMIRNOVA,https://olympics.com/en/athletes/anastasiia-smirnova
25,Marielle THOMPSON,https://olympics.com/en/athletes/marielle-thompson
26,Sandra NAESLUND,https://olympics.com/en/athletes/sandra-naeslund
27,Daniela MAIER,https://olympics.com/en/athletes/daniela-maier
28,Ilia BUROV,https://olympics.com/en/athletes/ilia-burov
29,Guangpu QI,https://olympics.com/en/athletes/guangpu-qi
30,Oleksandr ABRAMENKO,https://olympics.com/en/athletes/oleksandr-abramenko
31,Hanna HUSKOVA,https://olympics.com/en/athletes/hanna-huskova
32,Mengtao XU,https://olympics.com/en/athletes/mengtao-xu
33,Megan NICK,https://olympics.com/en/athletes/megan-nick
34,Cassie SHARPE,https://olympics.com/en/athletes/cassie-sharpe
35,Rachel KARKER,https://olympics.com/en/athletes/rachel-karker
36,Kelly SILDARU,https://olympics.com/en/athletes/kelly-sildaru
37,Nicholas GOEPPER,https://olympics.com/en/athletes/nicholas-goepper
38,Jesper TJADER,https://olympics.com/en/athletes/jesper-tjader
39,Alexander HALL,https://olympics.com/en/athletes/alexander-hall-1
40,Suzanne SCHULTING,https://olympics.com/en/athletes/suzanne-schulting
41,Kim BOUTIN,https://olympics.com/en/athletes/boutin
42,Arianna FONTANA,https://olympics.com/en/athletes/arianna-fontana
43,Steven DUBOIS,https://olympics.com/en/athletes/steven-dubois
44,Shaoang LIU,https://olympics.com/en/athletes/shaoang-liu
45,Konstantin IVLIEV,https://olympics.com/en/athletes/konstantin-ivliev
46,Semen ELISTRATOV,https://olympics.com/en/athletes/semen-elistratov
47,Daeheon HWANG,https://olympics.com/en/athletes/daeheon-hwang
48,Ziwei REN,https://olympics.com/en/athletes/ren
49,Wenlong LI,https://olympics.com/en/athletes/wenlong-li
50,Minjeong CHOI,https://olympics.com/en/athletes/choi-minjeong
51,Hanne DESMET,https://olympics.com/en/athletes/hanne-desmet
52,Queralt CASTELLET,https://olympics.com/en/athletes/queralt-castellet
53,Sena TOMITA,https://olympics.com/en/athletes/tomita
54,Chloe KIM,https://olympics.com/en/athletes/chloe-kim
55,Nick BAUMGARTNER,https://olympics.com/en/athletes/nick-baumgartner
56,Lindsey JACOBELLIS,https://olympics.com/en/athletes/lindsey-jacobellis
57,Omar VISINTIN,https://olympics.com/en/athletes/omar-visintin
58,Michela MOIOLI,https://olympics.com/en/athletes/michela-moioli
59,Eliot GRONDIN,https://olympics.com/en/athletes/eliot-grondin
60,Meryeta ODINE,https://olympics.com/en/athletes/meryeta-odine
61,Chloe TRESPEUCH,https://olympics.com/en/athletes/chloe-trespeuch
62,Tim MASTNAK,https://olympics.com/en/athletes/tim-mastnak
63,Benjamin KARL,https://olympics.com/en/athletes/benjamin-karl
64,Vic WILD,https://olympics.com/en/athletes/vic-wild
65,Kokomo MURASE,https://olympics.com/en/athletes/murase-kokomo
66,Zoi SADOWSKI SYNNOTT,https://olympics.com/en/athletes/zoi-sadowski-synnott
67,Anna GASSER,https://olympics.com/en/athletes/anna-gasser
68,Alessandro HAEMMERLE,https://olympics.com/en/athletes/alessandro-haemmerle
69,Max PARROT,https://olympics.com/en/athletes/parrot
70,Yiming SU,https://olympics.com/en/athletes/yiming-su
71,Mark MCMORRIS,https://olympics.com/en/athletes/mark-mcmorris
72,Jan SCHERRER,https://olympics.com/en/athletes/jan-scherrer
73,Ayumu HIRANO,https://olympics.com/en/athletes/ayumu-hirano
74,Scotty JAMES,https://olympics.com/en/athletes/scotty-james
75,Tess COADY,https://olympics.com/en/athletes/tess-coady
76,Julia MARINO,https://olympics.com/en/athletes/julia-marino
77,Daniela ULBING,https://olympics.com/en/athletes/daniela-ulbing
78,Ester LEDECKA,https://olympics.com/en/athletes/ester-ledecka
79,Gloria KOTNIK,https://olympics.com/en/athletes/gloria-kotnik
80,Mons ROISLAND,https://olympics.com/en/athletes/roisland
81,Marius LINDVIK,https://olympics.com/en/athletes/marius-lindvik
82,Ryoyu KOBAYASHI,https://olympics.com/en/athletes/kobayashi
83,Karl GEIGER,https://olympics.com/en/athletes/geiger
84,Katharina ALTHAUS,https://olympics.com/en/athletes/katharina-althaus
85,Ursa BOGATAJ,https://olympics.com/en/athletes/ursa-bogataj
86,Nika KRIZNAR,https://olympics.com/en/athletes/kriznar
87,Dawid KUBACKI,https://olympics.com/en/athletes/dawid-kubacki
88,Manuel FETTNER,https://olympics.com/en/athletes/manuel-fettner
89,Mark KONDRATIUK,https://olympics.com/en/athletes/mark-kondratiuk
90,Kamila VALIEVA,https://olympics.com/en/athletes/kamila-valieva
91,Wenjing SUI,https://olympics.com/en/athletes/wenjing-sui
92,Cong HAN,https://olympics.com/en/athletes/cong-han
93,Evgenia TARASOVA,https://olympics.com/en/athletes/tarasova
94,Vladimir MOROZOV,https://olympics.com/en/athletes/morozov
95,Anastasia MISHINA,https://olympics.com/en/athletes/anastasia-mishina
96,Aleksandr GALLIAMOV,https://olympics.com/en/athletes/aleksandr-galliamov
97,Gabriella PAPADAKIS,https://olympics.com/en/athletes/gabriella-papadakis
98,Guillaume CIZERON,https://olympics.com/en/athletes/guillaume-cizeron
99,Victoria SINITSINA,https://olympics.com/en/athletes/victoria-sinitsina
100,Nikita KATSALAPOV,https://olympics.com/en/athletes/nikita-katsalapov
101,Madison HUBBELL,https://olympics.com/en/athletes/madison-hubbell
102,Zachary DONOHUE,https://olympics.com/en/athletes/donohue
103,Anna SHCHERBAKOVA,https://olympics.com/en/athletes/anna-shcherbakova
104,Alexandra Trusova,https://olympics.com/en/athletes/alexandra-trusova
105,Kaori SAKAMOTO,https://olympics.com/en/athletes/kaori-sakamoto
106,Shoma UNO,https://olympics.com/en/athletes/shoma-uno
107,Nathan CHEN,https://olympics.com/en/athletes/chen
108,Yuma KAGIYAMA,https://olympics.com/en/athletes/yuma-kagiyama
109,Tobias WENDL,https://olympics.com/en/athletes/tobias-wendl
110,Tobias ARLT,https://olympics.com/en/athletes/tobias-arlt
111,Toni EGGERT,https://olympics.com/en/athletes/toni-eggert
112,Sascha BENECKEN,https://olympics.com/en/athletes/sascha-benecken
113,Thomas STEU,https://olympics.com/en/athletes/thomas-steu
114,Lorenz KOLLER,https://olympics.com/en/athletes/lorenz-koller
115,Wolfgang KINDL,https://olympics.com/en/athletes/wolfgang-kindl
116,Johannes LUDWIG,https://olympics.com/en/athletes/johannes-ludwig
117,Dominik FISCHNALLER,https://olympics.com/en/athletes/dominik-fischnaller
118,Anna BERREITER,https://olympics.com/en/athletes/anna-berreiter
119,Tatyana IVANOVA,https://olympics.com/en/athletes/tatyana-ivanova
120,Natalie GEISENBERGER,https://olympics.com/en/athletes/natalie-geisenberger
121,Quentin FILLON MAILLET,https://olympics.com/en/athletes/quentin-fillon-maillet
122,Tarjei BOE,https://olympics.com/en/athletes/tarjei-boe
123,Eduard LATYPOV,https://olympics.com/en/athletes/eduard-latypov
124,Tiril ECKHOFF,https://olympics.com/en/athletes/tiril-eckhoff
125,Justine BRAISAZ,https://olympics.com/en/athletes/braisaz
126,Marte Olsbu ROEISELAND,https://olympics.com/en/athletes/marte-olsbu-roeiseland
127,Elvira OEBERG,https://olympics.com/en/athletes/elvira-oeberg
128,Johannes Thingnes BOE,https://olympics.com/en/athletes/johannes-thingnes-boe
129,Dorothea WIERER,https://olympics.com/en/athletes/dorothea-wierer
130,Martin PONSILUOMA,https://olympics.com/en/athletes/martin-ponsiluoma
131,Vetle Sjaastad CHRISTIANSEN,https://olympics.com/en/athletes/vetle-sjaastad-christiansen
132,Anton SMOLSKI,https://olympics.com/en/athletes/smolski
133,Denise HERRMANN,https://olympics.com/en/athletes/denise-herrmann
134,Anais CHEVALIER,https://olympics.com/en/athletes/anais-chevalier
135,Clement NOEL,https://olympics.com/en/athletes/noel
136,Johannes STROLZ,https://olympics.com/en/athletes/strolz
137,Sebastian FOSS-SOLEVAAG,https://olympics.com/en/athletes/foss-solevaag
138,Beat FEUZ,https://olympics.com/en/athletes/beat-feuz
